OrderID,CustomerID,City,Restaurant,Meal,Quantity,OrderValue,PaymentMethod,DeliveryTime(mins),OrderStatus,OrderDate
1,8270,Port Harcourt,The Place,Ice Cream,3,14417.47,Wallet,36,Delivered,2024-01-01 00:00:00
2,1860,Ibadan,Chopnownow,Pizza (Large),3,14327.07,Transfer,30,Cancelled,2024-01-01 00:01:00
3,6390,Asaba,The Place,Spaghetti Bolognese,3,8041.25,Wallet,85,Delivered,2024-01-01 00:02:00
4,6191,Asaba,Kilimanjoro,Burger & Fries,3,14596.12,Wallet,76,Delivered,2024-01-01 00:03:00
5,6734,Abuja,Mr Biggs,Small Chops,4,13897.38,Cash,68,Delivered,2024-01-01 00:04:00
6,7265,Abuja,Kilimanjoro,Burger & Fries,1,3285.64,Card,86,Delivered,2024-01-01 00:05:00
7,1466,Benin City,Chicken Republic,Ice Cream,2,13916.25,Transfer,11,Delivered,2024-01-01 00:06:00
8,5426,Lagos,Chicken Republic,Spaghetti Bolognese,3,6604.56,Wallet,37,Delivered,2024-01-01 00:07:00
9,6578,Asaba,Kilimanjaro,Jollof Rice & Chicken,2,10357.4,Transfer,31,Delivered,2024-01-01 00:08:00
10,9322,Enugu,Kilimanjaro,Spaghetti Bolognese,2,2105.8,Transfer,52,Delivered,2024-01-01 00:09:00
11,2685,Ibadan,Chicken Republic,Small Chops,1,8046.54,Cash,36,Delivered,2024-01-01 00:10:00
12,1769,Asaba,Coldstone,Small Chops,3,4160.55,Cash,21,Delivered,2024-01-01 00:11:00
13,7949,Abuja,Kilimanjoro,Spaghetti Bolognese,1,11737.91,Cash,11,Pending,2024-01-01 00:12:00
14,3433,Uyo,Sweet Sensation,Burger & Fries,2,4366.92,Transfer,16,Delivered,2024-01-01 00:13:00
15,6311,Benin City,Sweet Sensation,Small Chops,4,12113.98,Transfer,23,Pending,2024-01-01 00:14:00
16,6051,Port Harcourt,Mr Biggs,Burger & Fries,1,6182.4,Card,22,Delivered,2024-01-01 00:15:00
17,7420,Port Harcourt,Coldstone,Spaghetti Bolognese,2,13938.56,Card,16,Delivered,2024-01-01 00:16:00
18,2184,Lagos,Chicken Republic,Spaghetti Bolognese,2,7766.19,Cash,71,Delivered,2024-01-01 00:17:00
19,5555,Lagos,Kilimanjaro,Fried Rice & Turkey,1,7317.39,Transfer,78,Delivered,2024-01-01 00:18:00
20,4385,Asaba,Kilimanjoro,Fried Rice & Turkey,1,6389.43,Card,52,Pending,2024-01-01 00:19:00
21,7396,Benin City,Kilimanjoro,Jollof Rice & Chicken,1,7799.56,Card,52,Delivered,2024-01-01 00:20:00
22,9666,Asaba,Kilimanjoro,Pizza (Large),2,7941.27,Card,86,Delivered,2024-01-01 00:21:00
23,3558,Ibadan,Kilimanjoro,Jollof Rice & Chicken,3,7969.48,Card,60,Delivered,2024-01-01 00:22:00
24,8849,Uyo,Coldstone,Efo Riro & Poundo,4,5968.87,Cash,17,Delivered,2024-01-01 00:23:00
25,3047,Benin City,Chopnownow,Burger & Fries,1,2412.79,Cash,49,Delivered,2024-01-01 00:24:00
